year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
2006,4533,Lebanon (Southern [> ADM1]),Centroid of > ADM1,35.6425,33.6156,5,ArcGIS and GADM,> ADM1,,80949,,,,,
2006,4534,Iran-Iraq Border,Midpoint of shared (national) border,45.6418,33.7638,5,ArcGIS and cShapes,Point along a line,,80889,,,,,
2006,4572,Malaysia-Thailand Border,Midpoint of shared (national) border,101.096,5.9239,5,ArcGIS and cShapes,Point along a line,,121160,,,,,
2006,4573,Afghanistan-Pakistan Border,Midpoint of shared (national) border,69.227,31.8695,5,ArcGIS and cShapes,Point along a line,,83736,,,,,
2006,4574,Myanmar-Thailand Border,Midpoint of shared (national) border,98.7793,16.3433,5,ArcGIS and cShapes,Point along a line,,106035,,,,,
2006,4575,Pakistan (Waziristan [> ADM1]),Centroid of > ADM1,69.9079,32.6253,5,ArcGIS and GADM,> ADM1,,82297,,,,,
2006,4576,Afghanistan-Pakistan Border,Midpoint of shared (national) border,69.227,31.8695,5,ArcGIS and cShapes,Point along a line,,83736,,,,,
2007,4392,DRC-Uganda Border (Lake Albert),Lake Albert,1.77179,30.9876,2,latlong.net,Lake,,85361,,,,,
2007,4393,Burundi-DRC Border (Lake Tanganyika),Lake Tanganyika,29.5108,-6.25557,2,latlong.net,Lake,,138537,,,,,
2007,4394,Eritrea-Ethiopia Border,Midpoint of shared (national) border,39.315,14.4783,5,ArcGIS and cShapes,Point along a line,,109036,,,,,
2007,4395,Sudan (Darfur [> ADM1]),Centroid of > ADM1,25.8995,13.9876,5,ArcGIS and GADM,> ADM1,"Incident involves dual events in Rijlal-Haraziya, Sudan and Karmula, Sudan",109729,,,,,
2007,4435,Greece-Turkey Border (Territorial Waters),Midpoint of shared (territorial water) border,26.7665,37.9343,5,ArcGIS and Marine Regions,Point along a line,,75171,,,,,
2007,4436,South Ossetia + Abkhazia + Georgia,Centroid of ADM0,43.5193,42.177,6,ArcGIS and GADM,State,,68645,,,,,
