year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1962,1410,Mali-Mauritania Border,Midpoint of shared (national) border,-5.64396,16.8928,5,ArcGIS and cShapes,Point along a line,,105506,Mauritanian-Malian border,"Nioro, Mali",15.2333,-9.58333,4
1962,1418,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793,5,ArcGIS and cShapes,Point along a line,,117038,togo-ghana Border,"Jasikan, Ghana",7.4,0.466667,4
1962,1466,India-Nepal Border,Midpoint of shared (national) border,83.9121,27.4494,5,ArcGIS and cShapes,Point along a line,,90165,,IND-NEP border,27.51,84.29,4
1962,2188,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093,5,ArcGIS and cShapes,Point along a line,,74253,,PRK-KOR border,38.27,127.3,4
1962,2344,Honduras-Nicaragua Border,Midpoint of shared (national) border,-85.4934,14.082,5,ArcGIS and cShapes,Point along a line,,109267,Nicaragua-Honduras border,"Jalapa, Nicaragua",13.9167,-86.1333,4
1962,2629,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,Kashmir,Kashmir,31.3422,74.3653,3
1962,2730,Cambodia (Svay Reing [ADM1]),Centroid of ADM1,105.861,11.1569,4,ArcGIS and GADM,ADM1,,113169,Parrots Beak,"parrots beak, cambodia",10.9258,106.101,3
1962,2888,"Hokkaido, Japan","Hokkaido, Japan",142.552,43.3857,4,ArcGIS and GADM,ADM1,,67083,Waters near Hokkaido,"Hokkaido, Japan",44,143,4
1962,2890,Guinea-Guinea Bissau Border,Midpoint of shared (national) border,-13.8519,11.671,5,ArcGIS and cShapes,Point along a line,Uses 1974 data,112690,Guinea/Port. Guinea Border,"Boe, Guinea-Bissau",11.75,-14.2167,4
1962,3163,"Kars, Turkey","Kars, Turkey",43.0975,40.6013,2,latlong.net,Near,,70884,Near Kars,"Kars, Turkey",40.6167,43.0833,2
1962,3165,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241,5,ArcGIS and cShapes,Point along a line,,76635,Turkish/Syrian border,"Tall Khinzir, Syria",36.8333,40.8833,4
1962,3244,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983,3,ArcGIS and Marine Regions,Territorial waters,,143120,Peruvian coastal waters,"Lima, Peru",-12.05,-77.05,4
1963,624,"Cayenne, French Guiana","Cayenne, French Guiana",-52.3135,4.92242,8,latlong.net,Capital,,122853,French Guyana,Cayenne,4.93333,-52.3333,5
1963,1002,Dominican Republic Territorial Waters,Centroid of territorial waters,-70.0869,18.1209,3,ArcGIS and Marine Regions,Territorial waters,,103457,,md point of dom coast,18.67,-68.26,4
1963,1019,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,1,latlong.net,Precise location text,,83828,Jerusalem,"Jerusalem, Israel",31.75,35,1
1963,1070,Indonesia-Malaysia Border,Midpoint of shared (national) border,114.183,1.45234,5,ArcGIS and cShapes,Point along a line,,127586,,mid pt borneo border,1.45,114.47,4
1963,1084,Algeria-Morocco Border,Midpoint of shared (national) border,-3.81331,31.2712,5,ArcGIS and cShapes,Point along a line,,84630,Algerian-Moroccan border,"Figuig, Morocco",32.1167,-1.22694,4
1963,1102,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,208586,Beagle Channel 1,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1963,1279,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856,8,latlong.net,Capital,,78784,Cyprus,Nicosia,35.1667,33.3667,5
1963,1317,India (Tripura [ADM1]),Centroid of ADM1,91.7436,23.7468,4,ArcGIS and GADM,ADM1,,95221,"Dumabari, Lachar-Sylhet(Tripura)","Tripura, India",24,92,3
1963,1407,Benin-Nigeria Border,Midpoint of shared (national) border,3.13833,9.21593,5,ArcGIS and cShapes,Point along a line,,116324,Beninois-Nigerian border,mid pt on border,9.0475,2.88944,4
1963,1425,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1963,1426,Pakistan (Northwest Frontier Province [ADM1]),Centroid of ADM1,72.0483,34.4208,4,ArcGIS and GADM,ADM1,,80142,Northwest Frontier Province,"NWFP, Pakistan",34.5,72,3
1963,1803,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294,3,ArcGIS and Marine Regions,Territorial waters,,130876,Ecuadorian coastal waters,"Manta, Ecuador",-0.95,-80.7333,4
1963,2157,"Behan, Iran","Behan, Iran",52.4056,35.7863,1,latlong.net,Precise location text,,78022,Behan,"Behan, Iran",35.7833,52.4,1
1963,2218,"Berlin, Germany","Berlin, Germany",13.405,52.52,8,latlong.net,Capital,,53612,,berlin,52.52,13.38,5
1963,2623,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798,4,ArcGIS and GADM,ADM1,,109568,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.833,1
1963,2630,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,Kashmir,Kashmir,31.3422,74.3653,3
1963,2729,"Quan Phu Quoe, Vietnam","Quan Phu Quoe, Vietnam",103.967,10.2305,1,latlong.net,Precise location text,,114605,Quan Phu Quoe,"Quan Phu, Vietnam",19.9333,105.517,1
1963,2892,Taiwan Strait,Taiwan Strait,119.698,24.6581,3,latlong.net,Strait,,93757,Taiwan Strait,Taiwan Straits,24,119,5
1963,2894,"Halmahera, Indonesia","Halmahera, Indonesia",128.485,1.31212,2,latlong.net,Near,,127534,"near Halnahera, indonesia",halmahera,1.50167,127.707,2
1963,2897,Iran (Northern [> ADM1]),Centroid of > ADM1,52.376,36.1117,5,ArcGIS and GADM,> ADM1,,77302,Northern Iran,"Tabriz, Iran",38.08,46.2919,3
1963,2898,"Prague, Czech Republic","Prague, Czech Republic",14.4378,50.0755,8,latlong.net,Capital,,57226,Czechoslovakia,Prague,50.0833,14.4667,5
1963,2899,Bering Strait,Bering Strait,-168.395,65.8938,3,latlong.net,Strait,,35249,"Bering Straits, Alaska",Bering Strait,66,-169,5
1963,3166,Lebanon-Syria Border,Midpoint of shared (national) border,36.3348,33.9818,5,ArcGIS and cShapes,Point along a line,,80950,Syrian/Lebanonese border,"Hims, Syria",34.7333,36.7167,4
1963,3167,Lebanon-Syria Border,Midpoint of shared (national) border,36.3348,33.9818,5,ArcGIS and cShapes,Point along a line,,80950,Syrian/Lebanonese border,"Hims, Syria",34.7333,36.7167,4
1963,3377,Egypt-Israel Border,Midpoint of shared (national) border,34.6071,30.3694,5,ArcGIS and cShapes,Point along a line,,85987,,md point of ISR-EGY border,30.37,34.7,4
1964,92,Libreville,"Libreville, Gabon",9.46727,0.416198,1,latlong.net,Precise location text,,129216,Libreville,"Libreville, Gabon",0.383333,9.45,1
1964,611,North Vietnam,Midpoint of coastline,104.094,19.2248,5,ArcGIS and cShapes,Point along a line,Uses 1953 data,101646,,md point of VIE coast,12.84,109.37,4
1964,623,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,89454,Sikkim,"Sikkim, India",27.75,88.5,3
1964,1213,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774,5,ArcGIS and cShapes,Point along a line,,112450,,VIE-CAM,11.96,106.7,4
1964,1229,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798,4,ArcGIS and GADM,ADM1,,109568,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.683,1
1964,1312,India (Jammu and Kashmir [ADM1]),Centroid of ADM1,76.6126,33.7594,4,ArcGIS and GADM,ADM1,,80871,Jammu and Kashmir,"Jammu, Pakistan",30.1167,73.85,3
1964,1361,Burundi-Rwanda Border,Midpoint of shared (national) border,29.872,-2.74158,5,ArcGIS and cShapes,Point along a line,,133497,burundi-rwanda border,mid pt on border,-2.57556,29.9692,4
1964,1379,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093,5,ArcGIS and cShapes,Point along a line,,74253,,PRK-KOR border,38.27,127.3,4
1964,2031,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,108129,Mekong River,"Mekong river, Vietnam",10.25,105.917,4
1964,2080,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167,1,latlong.net,Precise location text,,192738,Alto Palena,"Alto Palena, Chile",-43.6167,-71.8,1
1964,2153,"Al Mukalla, Yemen","Al Mukalla, Yemen",49.1272,14.5404,8,latlong.net,Capital,,108256,Yemen,Al Mukalla,14.53,49.1314,5
1964,2220,"Berlin, Germany","Berlin, Germany",13.405,52.52,8,latlong.net,Capital,,53612,East Germany,Berlin,52.5167,13.4833,5
1964,2707,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305,5,ArcGIS and cShapes,Point along a line,,57751,china-ussr border,mid pt on border,53.2939,120.89,4
1964,2901,Black Sea,Black Sea,34.2993,43.413,5,latlong.net,Sea,,67266,Black Sea,Black Sea,43,35,5
1964,2904,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538,5,ArcGIS and Marine Regions,Point along a line,,127598,waters near Indonesia,Banda Sea,-5,128,4
1964,2906,"Cairo, Egypt","Cairo, Egypt",31.2357,30.0444,8,latlong.net,Capital,,85980,Egypt (UAR),Cairo,30.05,31.25,5
1964,2907,Sweden Territorial Waters,Centroid of mainland territorial waters,17.3734,57.276,3,ArcGIS and Marine Regions,Territorial waters,,47140,Waters off Sweden,Gotland,57.5,18.55,4
1964,2908,"Bonn, Germany","Bonn, Germany",7.09821,50.7374,8,latlong.net,Capital,,56492,West Germany,Bonn,50.7333,7.1,5
1964,3378,"Sinai, Egypt","Sinai, Egypt",34,29.5,5,latlong.net,> ADM1,,86705,Sinai,"Sinai, Egypt",29.5,34,3
1965,1017,"Beirut, Lebanon","Beirut, Lebanon",35.5018,33.8938,8,latlong.net,Capital,,80949,Lebanon,Beirut,33.8719,35.5097,5
1965,1216,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774,5,ArcGIS and cShapes,Point along a line,,112450,,VIE-CAM,11.96,106.7,4
1965,1319,DRC-Uganda Border,Midpoint of shared (national) border,30.5205,1.28653,5,ArcGIS and cShapes,Point along a line,,127739,Zairean Uganda border,"Gety, DRC",1.21667,30.2,4
1965,1328,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784,5,ArcGIS and cShapes,Point along a line,,132830,congo-zaire border,mid pt on border,-2.05806,16.3395,4
1965,1366,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421,5,ArcGIS and cShapes,Point along a line,,127027,Kenyan-Ugandan border,"Moroto, Uganda",2.53333,34.65,4
1965,1419,Ghana-Togo Border,Midpoint of shared (national) border,0.393728,8.72793,5,ArcGIS and cShapes,Point along a line,,117038,Togolese Ghanian border,"Jasikan, Ghana",7.4,0.466667,4
1965,1463,India-Nepal Border,Midpoint of shared (national) border,83.9121,27.4494,5,ArcGIS and cShapes,Point along a line,,90165,nepal-india border,mid pt of border,27.3706,84.4697,4
1965,1608,"Alto Palena, Chile","Palena, Chile",-71.8,-43.6167,1,latlong.net,Precise location text,,192738,Alto Palena,"Alto Palena, Chile",-43.6167,-71.8,1
1965,1804,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759,5,ArcGIS and cShapes,Point along a line,,153657,,zim-zam border,-17.006,27.794,4
1965,2066,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1965,2106,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,78011,Kordestan,"Kordestan, Iran",37,44,3
1965,2171,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856,8,latlong.net,Capital,,78784,Cyprus,Nicosia,35.1667,33.3667,5
1965,2172,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856,8,latlong.net,Capital,,78784,Cyprus,Nicosia,35.1667,33.3667,5
1965,2360,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,,104647,,YEM-SAU border,17.23,47.46,4
1965,2631,Rann of Kutch,Rann of Kutch,70.1456,24.0454,2,latlong.net,Marsh,,94538,Rann of Kutch,"Rann of Kutch, India",24,70,3
1965,2708,Mongolia,Centroid of ADM0,103.083,46.8353,6,ArcGIS and cShapes,State,"China, Mongola, Russia borders meet in two places",62124,"border, Mongolia",Ulaanbaatar,47.9167,106.917,4
1965,2913,Indonesia Territorial Waters,Point along Territorial Waters boundary nearest centroid of noncontiguous Territorial Waters,120.221,1.23538,5,ArcGIS and Marine Regions,Point along a line,,127598,Indonesia waters,"Irian Jaya, Indonesia",-5,138,4
1965,2914,Banda Sea,Banda Sea,126.609,-5.70394,5,latlong.net,Sea,,137611,Banda Sea and near Borneo,Banda Sea,-5,128,4
1965,2915,"Bonn, Germany","Bonn, Germany",7.09821,50.7374,8,latlong.net,Capital,,56492,West Germany,Bonn,50.7333,7.1,5
1965,2916,Sea of Japan,Sea of Japan,135,38.8488,5,latlong.net,Sea,,73548,Japan Sea,Japan Sea,43.5,135.75,5
1965,2929,South China Sea,South China Sea,114.405,15.4881,5,latlong.net,Sea,,107426,South China Sea and over China,South China Sea,15,115,5
1965,3168,Syria-Turkey Border,Midpoint of shared (national) border,38.6869,36.7241,5,ArcGIS and cShapes,Point along a line,,76635,Turkish/Syrian border,"Tall Khinzir, Syria",36.8333,40.8833,4
1965,3169,Turkey (Cukurca [ADM2]),Centroid of ADM2,43.6758,37.3013,3,ArcGIS and GADM,ADM2,,75845,"Chukurcha, Turkey","Cukurca, Turkey",41.0667,32.6833,1
1966,343,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur and Ussuri Rivers,"Amur River, Russia",52.9333,141.167,4
1966,1035,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833,5,ArcGIS and cShapes,Point along a line,,82389,,ISR-SYR border,32.945,35.84,4
1966,1109,Saudi Arabia-North Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,,104647,,YEM-SAU border,17.23,47.46,4
1966,1166,Anacoco Island,Anacoco Island,-61.1436,6.72528,2,Point estimate and latlong.net,Island,,120035,Ankoko Island,"Ankoko Island, Venezuela",6.71667,-61.1333,3
1966,1322,Chad (Oaddai [ADM1])-Sudan Border,Midpoint of shared (subnational) border,22.2591,13.3246,5,ArcGIS and GADM,Point along a line,,110522,"Quaddai District, Chad-Sudan border","Tundubai, Sudan",14.8,22.7667,3
1966,1324,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1966,1351,Guinea-Ivory Coast Border,Midpoint of shared (national) border,-7.67512,8.5036,5,ArcGIS and cShapes,Point along a line,,117022,,mid pt on IVO-GUI border,8.684,-7.532,4
1966,1392,Angola-Zambia Border,Midpoint of shared (national) border,21.9969,-13.4962,5,ArcGIS and cShapes,Point along a line,Uses 1975 data,148681,Zambia/Angola border,"Mussuma, Angola",-14.2,21.9167,4
1966,1401,Caprivi Strip,Caprivi Strip,22.5689,-17.9802,5,latlong.net,> ADM1,,155167,Caprivi Strip,"Caprivi Strip, Namibia",-18,23,3
1966,1408,"Accra, Ghana","Accra, Ghana",-0.186964,5.60372,8,latlong.net,Capital,,121357,Ghana and Guinea,"Accra, Ghana",5.55,-0.216667,5
1966,1713,"Beijing, China","Beijing, China",116.407,39.9042,1,latlong.net,Precise location text,,72150,Beijing China,"Beijing, China",39.9289,116.388,1
1966,2067,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1966,2107,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,78011,Kordestan,"Kordestan, Iran",35.5,47,3
1966,2155,Saudi Arabia-Yemen Border,Midpoint of shared (national) border,44.5422,17.3755,5,ArcGIS and cShapes,Point along a line,,104647,Border of Saudi Arabia & Yemen,"Zamakh, Yemen",16.45,47.6,4
1966,2632,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,Kashmir,"Kashmir, pakistan",31.3422,74.3653,3
1966,2891,"Matsu Tao, China","Matsu Tao, China",119.931,26.1499,2,latlong.net,Near,,91597,near Matsu,"Matsu Tao, China",26.1489,119.937,2
1966,2918,"Singapore, Singapore","Singapore, Singapore",103.82,1.35208,2,latlong.net,Near,,127565,near Singapore,"Singapore, Singapore",1.29306,103.856,2
1966,2919,South Korea Territorial Waters,Centroid of mainland territorial waters,127.333,33.9046,3,ArcGIS and Marine Regions,Territorial waters,,80732,waters near Korea,"Pusan, S.Korea",35.7,128.033,4
1966,2920,Yellow Sea,Yellow Sea,123.796,35.4943,5,latlong.net,Sea,,78565,Yellow Sea,Yellow Sea,36,124,5
1966,2921,"Heringen, Germany","Heringen, Germany",9.99839,50.8944,1,latlong.net,Precise location text,,56497,"Heringer, West Germany","Heringer, Germany",51.4167,10.8333,1
1966,3135,"Beira, Mozambique","Beira, Mozambique",34.8845,-19.7964,2,latlong.net,Near,,157991,Waters of Beira Mozambique,"Beira, Mozambique",-19.8436,34.8389,2
1966,3171,Jordan-Syria Border,Midpoint of shared (national) border,37.2119,32.5325,5,ArcGIS and cShapes,Point along a line,,82392,Jordanian/Syrian border,mid pt of border,32.4439,37.0289,4
1966,3379,"Sinai, Egypt","Sinai, Egypt",34,29.5,5,latlong.net,> ADM1,,86705,Sinai,"Sinai, Egypt",29.5,34,3
1966,3412,Israel-Syria Border,Midpoint of shared (national) border,35.6347,32.9833,5,ArcGIS and cShapes,Point along a line,,82389,,ISR-SYR border,32.945,35.84,4
1967,345,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1967,1067,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,2,latlong.net,Near,,83828,"Border area, Jerusalem","Jerusalem, Israel",31.75,35,2
1967,1115,Venezuela,Midpoint of coastline,-63.8722,10.6422,5,ArcGIS and cShapes,Point along a line,,114270,Venezuelan Coast,Bonaire Basin,11.4167,-67.5,4
1967,1217,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774,5,ArcGIS and cShapes,Point along a line,,112450,,VIE-CAM,11.96,106.7,4
1967,1230,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798,4,ArcGIS and GADM,ADM1,,109568,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.683,1
1967,1280,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,,78784,,cyprus,35.06,33.41,5
1967,1343,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,Kashmir,"Kashmir, pakistan",31.3422,74.3653,3
1967,1352,Guinea-Ivory Coast Border,Midpoint of shared (national) border,-7.67512,8.5036,5,ArcGIS and cShapes,Point along a line,,117022,Ivorian-Guinean coastal waters,"Sassandra, Ivory Coast",7.7,-7.06667,4
1967,1378,Ethiopia-Kenya-Somalia Border,"Intersection of Ethiopia, Kenya, and Somalia borders",41.9052,3.98032,5,ArcGIS and cShapes,Point along a line,,124161,meeting pt of KEN-ETH-SOM,3.841,41.971,2,5
1967,1422,Ethiopia-Sudan Border,Midpoint of shared (national) border,34.8118,10.7249,5,ArcGIS and cShapes,Point along a line,,114067,Ethiopean-Sudanese frontier,"Famaka, Sudan",11.3,34.7333,4
1967,1480,Israel-Egypt Border,Midpoint of shared (national) border,32.3016,30.9629,5,ArcGIS and cShapes,Point along a line,,85262,,ISR-EGY border,30.363,34.706,4
1967,1609,Beagle Channel,Beagle Channel,-67.8349,-54.8899,3,latlong.net,Channel,,208586,Beagle Channel,"Beagle Channel, Argentina",-54.8833,-68.1667,4
1967,1715,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,89454,Sikkim,"Sikkim, India",27.75,88.5,3
1967,1805,Ecuador Territorial Waters,Centroid of territorial waters,-80.8282,-0.5294,3,ArcGIS and Marine Regions,Territorial waters,,130876,Coastal waters of Ecuadore,Bahia de Manta,-0.933333,-80.7,4
1967,2097,"Beijing, China","Beijing, China",116.407,39.9042,1,latlong.net,Precise location text,,72150,"Beijing, China","Beijing, China",39.9289,116.388,1
1967,2710,"Dairen, China","Dairen, China",121.615,38.914,1,latlong.net,Precise location text,,73601,"Darien, Beijing","Dairen, China",38.9122,121.602,1
1967,2930,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1967,2931,Greece (Crete [ADM1]),Centroid of ADM1,24.8447,35.2293,4,ArcGIS and GADM,ADM1,,78767,Waters near Crete,Gulf of Iraklion,35.3833,25.1333,4
1967,2932,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1967,2933,Shetland Islands,Shetland Islands,-1.26594,60.5297,3,latlong.net,Island,,42143,Shetland Islands,"Shetland Isl, UK",60.5,-1,3
1967,2934,Russia-United States Border (Territorial Waters),Midpoint of shortest distance between territorial waters,-171.985,64.0926,5,ArcGIS and Marine Regions,Point along a line,,37402,waters near Alaska,Bering Sea,60,177,4
1967,2935,China (Eastern [> ADM1]),Centroid of > ADM1,117.929,39.8904,5,ArcGIS and GADM,> ADM1,,72153,eastern China,"Jilin, China",45.2544,131.24,3
1967,3170,Gulf of Aqaba,Gulf of Aqaba,34.7299,28.6929,4,latlong.net,Gulf,,88147,Gulf of Aqaba,"Gulf of Aqaba, Saudia Arabia",29,34.6667,3
1967,3172,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809,5,ArcGIS and cShapes,Point along a line,,86652,Iraq/Kuwait boader,"Safwan, Iraq",30.1125,47.7156,4
1967,3446,Golan Heights,Golan Heights,35.7844,33.0156,3,latlong.net,ADM2 like,,81669,Golan Heights,Golan Heights,33,35.75,3
1968,346,Czechoslovakia-Russia Border,Midpoint of shared (national) border,22.3523,48.7316,5,ArcGIS and cShapes,Point along a line,,59402,,md point of USR-CZE border,48.78,22.56,4
1968,347,Sea of Japan,Sea of Japan,135,38.8488,5,latlong.net,Sea,,73548,Sea of Japan,Japan Sea,43.5,135.75,5
1968,1051,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118,5,ArcGIS and cShapes,Point along a line,,81669,Israel/Lebanon border,"Me'ona, Israel",33.0167,35.2667,4
1968,1069,"Algiers, Algeria","Algiers, Algeria",3.05876,36.7538,1,latlong.net,Precise location text,,76724,Algiers,"Algiers, Algeria",36.7631,3.05055,1
1968,1072,Sabah,"Sabah, Iraq",43.3683,35.3125,1,MIDLOC1.1,Precise location text,,78804,Sabah,"Sabah, Iraq",35.3125,43.3683,1
1968,1400,"Lusaka, Zambia","Lusaka, Zambia",28.3228,-15.3875,8,latlong.net,Capital,,151494,Zambia,Lusaka,-15.4167,28.2833,5
1968,1403,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445,5,ArcGIS and cShapes,Point along a line,,124142,Sudan/Uganda border,"Nimule, Sudan",3.6,32.05,4
1968,1462,"Susta, Latvia","Susta, Latvia",21.3318,56.4724,1,latlong.net,Precise location text,,48588,Susta region,"Susta, Latvia",56.4667,21.3333,3
1968,1610,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798,4,ArcGIS and GADM,ADM1,,109568,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.683,1
1968,1806,Cambodia-South Vietnam Border,Midpoint of shared (national) border,106.041,11.774,5,ArcGIS and cShapes,Point along a line,,112450,,VIE-CAM,11.96,106.7,4
1968,1807,Ghana Territorial Waters,Centroid of territorial waters,-0.943057,5.10273,3,ArcGIS and Marine Regions,Territorial waters,,122076,off Ghanan coast,"Accra, Ghana",5.55,-0.216667,4
1968,2711,China-Russia Border,Point along shared noncontiguous border nearest midpoint of contiguous border including neighbors,116.711,49.8305,5,ArcGIS and cShapes,Point along a line,,57751,china-ussr border,mid pt on border,53.2939,120.89,4
1968,2922,Venezuela Territorial Waters,Centroid of territorial waters,-68.9193,11.5478,3,ArcGIS and Marine Regions,Territorial waters,,112820,Waters near Venezuela,Bonaire Basin,11.4167,-67.5,4
1968,2923,Brazil Territorial Waters,Centroid of territorial waters,-39.2861,-18.0191,3,ArcGIS and Marine Regions,Territorial waters,,156003,waters near Brazil,mid pt of coast,-10.3231,-36.3331,4
1968,2924,Red Sea,Red Sea,38.5126,20.2802,5,latlong.net,Sea,,100395,near Egypt,Red Sea,19,39.5,5
1968,2925,Kuril Islands,Kuril Islands,150.971,47.1544,5,latlong.net,Island,,61259,Kuril Islands,"Kuril Islands, Russia",46.1667,152,3
1968,2926,Hong Kong Island,Hong Kong Island,114.191,22.2588,2,latlong.net,Island,,97346,Hong Kong,Hong Kong,22.2833,114.15,1
1968,2927,Argentina Territorial Waters,Centroid of territorial waters,-62.5692,-41.0919,3,ArcGIS and Marine Regions,Territorial waters,,189156,waters off Argentina,Golfo San Matias,-41.5,-64.25,4
1968,2940,Venezuela Territorial Waters,Centroid of territorial waters,-68.9193,11.5478,3,ArcGIS and Marine Regions,Territorial waters,,112820,waters near Venezuela,Bonaire Basin,11.4167,-67.5,4
1968,3300,Gulf of Thailand,Gulf of Thailand,101.343,9.71212,4,latlong.net,Gulf,,115400,Waters off eastern Cambodia,"Kampot, Cambodia",12.1167,104.967,3
1968,3447,Golan Heights,Golan Heights,35.7844,33.0156,3,latlong.net,ADM2 like,,81669,Golan Heights,Golan Heights,33,35.75,3
1969,349,Amur River,Midpoint of river,132.169,47.6919,5,ArcGIS and Natural Earth Data,Point along a line,,60582,Amur and Ussuri Rivers,"Amur River, Russia",52.9333,141.167,4
1969,350,Peru Territorial Waters,Centroid of territorial waters,-78.7418,-9.0983,3,ArcGIS and Marine Regions,Territorial waters,,143120,Peruvian coastal waters,Lima,-12.05,-77.05,4
1969,352,"Rangoon, Burma","Rangoon, Burma",96.1951,16.8661,8,latlong.net,Capital,,105310,Burma,"Rangoon, Burma",16.7833,96.1667,5
1969,1110,"al Wadiah, Saudi Arabia","al Wadiah, Saudi Arabia",47.0972,17.0854,2,latlong.net,Near,,104652,near al Wadeish,saudi-yemen border,16.8125,47.4967,2
1969,1136,Shatt-al-Arab,Midpoint of river,48.0287,30.4622,5,ArcGIS and Natural Earth Data,Point along a line,,85934,Shatt-al-Arab,Shatt-al-Arab (Iran/Iraq),29.9497,48.5731,3
1969,1172,"Timoteo Dominguez Key, Uruguay","Timoteo Dominguez Key, Uruguay",-58.2137,-33.5376,1,latlong.net,Precise location text,,178365,Timoteo Dominguez Key,"Timoteo Dominguez Key, Uruguay",-34.1761,-58.2231,1
1969,1206,El Salvador-Honduras Border,Midpoint of shared (national) border,-88.3707,13.8792,5,ArcGIS and cShapes,Point along a line,,109981,Salvadoran-Honduras border,"La Virtud, Honduras",14.05,-88.7,4
1969,1323,Central African Republic-Chad Border,Midpoint of shared (national) border,18.9736,8.95296,5,ArcGIS and cShapes,Point along a line,,116995,CAR-Chadian border,"Gondey, Chad",9.15,19.3167,4
