StateA,StateB,StartDate,EndDate,StartYear,StartMonth,EndYear,EndMonth,Type,Notes
481,484,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CON system entry
481,540,1975-11-01,2016-12-01,1975,11,2016,12,5,Across Atlantic Ocean; begins with ANG system entry
482,483,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CEN system entry
482,484,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CON system entry
482,490,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CEN system entry
482,625,1960-08-01,2016-12-01,1960,08,2016,12,1,Partly through South Sudan; begins with CEN system entry
482,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
483,620,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CHA system entry
483,625,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CHA system entry
484,490,1960-08-01,2016-12-01,1960,08,2016,12,1,Begins with CON system entry
484,540,1975-11-01,2016-12-01,1975,11,2016,12,1,Begins with ANG system entry
490,500,1962-10-01,2016-12-01,1962,10,2016,12,1,Begins with UGA system entry
490,510,1961-12-01,2016-12-01,1961,12,2016,12,3,Across Lake Tanganyika; begins with TAZ system entry
490,516,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with BUI system entry
490,517,1962-07-01,2016-12-01,1962,07,2016,12,1,Begins with RWA system entry
490,540,1975-11-01,2016-12-01,1975,11,2016,12,1,Begins with ANG system entry
490,551,1964-10-01,2016-12-01,1964,10,2016,12,1,Begins with ZAM system entry
490,625,1960-06-01,2011-07-01,1960,06,2011,07,1,Through South Sudan; begins with DRC system entry; ends with SSD secession from SUD
490,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
500,501,1963-12-01,2016-12-01,1963,12,2016,12,1,Begins with KEN system entry
500,510,1962-10-01,2016-12-01,1962,10,2016,12,1,Begins with UGA system entry
500,517,1962-10-01,2016-12-01,1962,10,2016,12,1,Begins with UGA system entry
500,625,1962-10-01,2011-07-01,1962,10,2011,07,1,Through South Sudan; begins with UGA system entry; ends with SSD secession from SUD
500,626,2011-07-01,2016-12-01,2011,07,2016,12,1,Begins with SSD system entry
501,510,1963-12-01,2016-12-01,1963,12,2016,12,1,Begins with KEN system entry
501,511,1963-12-01,1964-04-01,1963,12,1964,04,4,Across Indian Ocean; begins with ZAN system entry; ends with ZAN merger into TAZ
