WarID,PolityID,StartDate,StartDate_Prec,EndDate,EndDate_Prec,Side,IsInitiator,Outcome,Deaths
211,651,1991-01-16,Day,1991-04-11,Day,A,0,1,14
211,698,1991-01-16,Day,1991-04-11,Day,A,0,1,0
211,220,1991-01-16,Day,1991-04-11,Day,A,0,1,2
211,696,1991-01-16,Day,1991-04-11,Day,A,0,1,6
211,694,1991-01-16,Day,1991-04-11,Day,A,0,1,0
211,670,1991-01-16,Day,1991-04-11,Day,A,0,1,44
211,652,1991-01-16,Day,1991-04-11,Day,A,0,1,0
211,645,1990-08-02,Day,1991-04-11,Day,B,1,2,40000
215,344,1992-04-07,Day,1992-05-13,Day,A,0,4,500
215,346,1992-04-07,Day,1992-05-13,Day,A,0,4,2850
215,345,1992-04-07,Day,1992-05-13,Day,B,1,4,1890
216,371,1993-02-06,Day,1994-05-12,Day,A,1,1,5500
216,373,1993-02-06,Day,1994-05-12,Day,B,0,2,8500
217,135,1995-01-09,Day,1995-02-27,Day,A,0,3,950
217,130,1995-01-09,Day,1995-02-27,Day,B,1,3,550
219,531,1998-05-06,Day,2000-12-12,Day,A,1,6,50000
219,530,1998-05-06,Day,2000-12-12,Day,B,0,6,70000
221,640,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,325,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,200,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,2,1999-03-24,Day,1999-06-10,Day,A,1,1,2
221,210,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,220,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,255,1999-03-24,Day,1999-06-10,Day,A,1,1,0
221,345,1999-03-24,Day,1999-06-10,Day,B,0,2,5000
223,750,1999-05-08,Day,1999-07-17,Day,A,0,1,474
223,770,1999-05-08,Day,1999-07-17,Day,B,1,2,698
225,20,2001-11-15,Day,2001-12-22,Day,A,0,4,0
225,220,2001-10-21,Day,2001-12-22,Day,A,0,4,0
225,200,2001-10-07,Day,2001-12-22,Day,A,1,4,0
225,2,2001-10-07,Day,2001-12-22,Day,A,1,4,2
225,900,2001-10-17,Day,2001-12-22,Day,A,0,4,0
225,700,2001-10-07,Day,2001-12-22,Day,B,0,4,4000
227,900,2003-03-19,Day,2003-05-02,Day,A,1,4,0
227,200,2003-03-19,Day,2003-05-02,Day,A,1,4,33
227,2,2003-03-19,Day,2003-05-02,Day,A,1,4,140
227,645,2003-03-19,Day,2003-05-02,Day,B,0,4,7000
300,210,1816-08-26,Day,1816-08-30,Day,A,1,1,13
300,200,1816-08-26,Day,1816-08-30,Day,A,1,1,129
300,615,1816-08-26,Day,1816-08-30,Day,B,0,2,6000
301,640,1816-09-01,Month,1818-09-11,Day,A,1,1,13500
301,10359,1816-09-01,Month,1818-09-11,Day,B,0,2,14000
302,230,1817-01-09,Day,1818-04-05,Day,A,0,2,1700
302,10360,1817-01-09,Day,1818-04-05,Day,B,1,1,1140
303,230,1817-04-11,Day,1819-08-10,Day,A,1,2,3000
303,10361,1817-04-11,Day,1819-08-10,Day,B,0,1,2000
304,230,1817-08-15,Day,1818-01-01,Day,A,0,1,1000
304,10362,1817-08-15,Day,1818-01-01,Day,B,1,2,1000
305,200,1817-10-01,Month,1818-11-26,Day,A,0,1,1000
305,10363,1817-10-01,Month,1818-11-26,Day,B,1,2,10000
306,200,1817-11-06,Day,1818-06-03,Day,A,0,1,2800
306,10364,1817-11-06,Day,1818-06-03,Day,B,1,2,2000
307,640,1820-01-01,Year,1821-06-01,Month,A,1,1,4000
307,10365,1820-01-01,Year,1821-06-01,Month,B,0,2,2500
308,230,1821-04-28,Day,1822-05-24,Day,A,0,2,1000
308,10361,1821-04-28,Day,1822-05-24,Day,B,1,1,500
309,640,1821-08-01,Month,1822-05-01,Month,A,0,6,1000
309,10010,1821-08-01,Month,1822-05-01,Month,B,1,6,
310,200,1823-09-24,Day,1826-02-24,Day,A,0,1,15000
310,10003,1823-09-24,Day,1826-02-24,Day,B,1,2,15000
311,200,1824-01-20,Day,1826-08-07,Day,A,0,1,1400
311,10366,1824-01-20,Day,1826-08-07,Day,B,1,2,5000
312,230,1824-02-04,Day,1825-04-02,Day,A,0,2,2000
312,10367,1824-02-04,Day,1825-04-02,Day,B,1,1,400
313,210,1825-07-23,Day,1830-03-28,Day,A,0,1,15000
313,10368,1825-07-23,Day,1830-03-28,Day,B,1,2,200000
314,200,1825-11-23,Day,1826-01-18,Day,A,0,1,400
314,10369,1825-11-23,Day,1826-01-18,Day,B,1,2,4500
315,140,1826-01-01,Day,1828-10-27,Day,A,0,2,4000
315,160,1826-01-01,Day,1828-10-27,Day,B,1,1,2000
316,365,1826-09-28,Day,1828-02-28,Day,A,0,1,5000
316,10010,1826-09-28,Day,1828-02-28,Day,B,1,2,2000
317,230,1829-07-16,Day,1829-09-11,Day,A,1,2,1700
317,70,1829-07-16,Day,1829-09-11,Day,B,0,1,135
319,220,1830-06-12,Day,1830-07-05,Day,A,1,1,600
319,615,1830-06-12,Day,1830-07-05,Day,B,0,2,3000
320,640,1832-06-01,Month,1837-01-01,Year,A,0,1,
320,10370,1832-06-01,Month,1837-01-01,Year,B,1,2,800
321,200,1838-04-17,Day,1838-04-01,Month,A,1,2,800
321,10371,1838-04-17,Day,1838-04-01,Month,B,0,1,
322,200,1839-02-14,Day,1842-10-12,Day,A,1,2,20000
322,700,1839-02-14,Day,1842-10-12,Day,B,0,1,
323,200,1839-09-04,Day,1842-08-29,Day,A,1,1,450
323,710,1839-09-04,Day,1842-08-29,Day,B,0,2,2000
324,220,1839-11-01,Day,1847-12-23,Day,A,0,1,15000
324,10372,1839-11-01,Day,1847-12-23,Day,B,1,2,20000
325,135,1841-10-19,Day,1841-11-28,Day,A,0,2,600
325,145,1841-10-19,Day,1841-11-28,Day,B,1,1,400
326,200,1843-01-06,Day,1843-06-14,Day,A,1,1,200
326,7693,1843-01-06,Day,1843-06-14,Day,B,0,2,4000
327,160,1843-02-16,Day,1851-07-18,Day,A,1,4,1500
327,165,1843-02-16,Day,1851-07-18,Day,B,0,4,3500
327,200,1845-01-01,Month,1849-03-06,Day,B,1,4,400
327,220,1845-01-01,Month,1849-05-24,Day,B,1,4,600
329,200,1843-12-28,Day,1843-12-29,Day,A,1,1,106
329,10373,1843-12-28,Day,1843-12-29,Day,B,0,2,1330
330,220,1844-08-06,Day,1844-09-10,Day,A,1,1,200
330,600,1844-08-06,Day,1844-09-10,Day,B,0,2,800
331,200,1845-12-13,Day,1846-02-10,Day,A,0,1,1500
331,10086,1845-12-13,Day,1846-02-10,Day,B,1,2,7000
332,365,1846-02-01,Month,1846-03-03,Day,A,0,1,
332,255,1846-02-01,Month,1846-03-03,Day,A,0,1,
